7 179404
Pa Pb Da Db BDa BDb ES
189 1 1 0 0 1 108
188 1 1 0 0 1 109
190 1 1 1 0 0 109
189 1 1 1 0 0 110
187 1 1 0 0 1 110
186 1 1 0 0 1 111
188 1 1 1 0 0 111
187 1 1 1 0 0 112
185 1 1 0 0 1 112
184 1 1 0 0 1 113
186 1 1 1 0 0 113
185 1 1 1 0 0 114
183 1 1 0 0 1 114
182 1 1 0 0 1 115
184 1 1 1 0 0 115
183 1 1 1 0 0 116
181 1 1 0 0 1 116
180 1 1 0 0 1 117
182 1 1 1 0 0 117
181 1 1 1 0 0 118
179 1 1 0 0 1 118
178 1 1 0 0 1 119
180 1 1 1 0 0 119
179 1 1 1 0 0 120
177 1 1 0 0 1 120
176 1 1 0 0 1 121
178 1 1 1 0 0 121
177 1 1 1 0 0 122
175 1 1 0 0 1 122
174 1 1 0 0 1 123
176 1 1 1 0 0 123
175 1 1 1 0 0 124
173 1 1 0 0 1 124
172 1 1 0 0 1 125
174 1 1 1 0 0 125
173 1 1 1 0 0 126
171 1 1 0 0 1 126
170 1 1 0 0 1 127
172 1 1 1 0 0 127
171 1 1 1 0 0 128
169 1 1 0 0 1 128
168 1 1 0 0 1 129
170 1 1 1 0 0 129
169 1 1 1 0 0 130
167 1 1 0 0 1 130
166 1 1 0 0 1 131
168 1 1 1 0 0 131
167 1 1 1 0 0 132
165 1 1 0 0 1 132
164 1 1 0 0 1 133
166 1 1 1 0 0 133
165 1 1 1 0 0 134
163 1 1 0 0 1 134
162 1 1 0 0 1 135
164 1 1 1 0 0 135
163 1 1 1 0 0 136
161 1 1 0 0 1 136
160 1 1 0 0 1 137
162 1 1 1 0 0 137
161 1 1 1 0 0 138
159 1 1 0 0 1 138
158 1 1 0 0 1 139
160 1 1 1 0 0 139
159 1 1 1 0 0 140
157 1 1 0 0 1 140
156 1 1 0 0 1 141
158 1 1 1 0 0 141
157 1 1 1 0 0 142
155 1 1 0 0 1 142
154 1 1 0 0 1 143
156 1 1 1 0 0 143
155 1 1 1 0 0 144
153 1 1 0 0 1 144
152 1 1 0 0 1 145
154 1 1 1 0 0 145
153 1 1 1 0 0 146
151 1 1 0 0 1 146
150 1 1 0 0 1 147
152 1 1 1 0 0 147
151 1 1 1 0 0 148
149 1 1 0 0 1 148
148 1 1 0 0 1 149
150 1 1 1 0 0 149
149 1 1 1 0 0 150
147 1 1 0 0 1 150
146 1 1 0 0 1 151
148 1 1 1 0 0 151
147 1 1 1 0 0 152
145 1 1 0 0 1 152
144 1 1 0 0 1 153
146 1 1 1 0 0 153
145 1 1 1 0 0 154
143 1 1 0 0 1 154
142 1 1 0 0 1 155
144 1 1 1 0 0 155
143 1 1 1 0 0 156
141 1 1 0 0 1 156
140 1 1 0 0 1 157
142 1 1 1 0 0 157
141 1 1 1 0 0 158
139 1 1 0 0 1 158
138 1 1 0 0 1 159
140 1 1 1 0 0 159
139 1 1 1 0 0 160
137 1 1 0 0 1 160
136 1 1 0 0 1 161
138 1 1 1 0 0 161
137 1 1 1 0 0 162
135 1 1 0 0 1 162
134 1 1 0 0 1 163
136 1 1 1 0 0 163
135 1 1 1 0 0 164
133 1 1 0 0 1 164
132 1 1 0 0 1 165
134 1 1 1 0 0 165
133 1 1 1 0 0 166
131 1 1 0 0 1 166
130 1 1 0 0 1 167
132 1 1 1 0 0 167
131 1 1 1 0 0 168
129 1 1 0 0 1 168
128 1 1 0 0 1 169
130 1 1 1 0 0 169
129 1 1 1 0 0 170
127 1 1 0 0 1 170
126 1 1 0 0 1 171
128 1 1 1 0 0 171
127 1 1 1 0 0 172
125 1 1 0 0 1 172
124 1 1 0 0 1 173
126 1 1 1 0 0 173
125 1 1 1 0 0 174
123 1 1 0 0 1 174
122 1 1 0 0 1 175
124 1 1 1 0 0 175
123 1 1 1 0 0 176
