241 721
212 213 5.3
213 213 -6.3
214 213 1
213 214 5.325
214 214 -6.325
215 214 1
214 215 5.35
215 215 -6.35
216 215 1
215 216 5.375
216 216 -6.375
217 216 1
216 217 5.4
217 217 -6.4
218 217 1
217 218 5.425
218 218 -6.425
219 218 1
218 219 5.45
219 219 -6.45
220 219 1
219 220 5.475
220 220 -6.475
221 220 1
220 221 5.5
221 221 -6.5
222 221 1
221 222 5.525
222 222 -6.525
223 222 1
222 223 5.55
223 223 -6.55
224 223 1
223 224 5.575
224 224 -6.575
225 224 1
224 225 5.6
225 225 -6.6
226 225 1
225 226 5.625
226 226 -6.625
227 226 1
226 227 5.65
227 227 -6.65
228 227 1
227 228 5.675
228 228 -6.675
229 228 1
228 229 5.7
229 229 -6.7
230 229 1
229 230 5.725
230 230 -6.725
231 230 1
230 231 5.75
231 231 -6.75
232 231 1
231 232 5.775
232 232 -6.775
233 232 1
232 233 5.8
233 233 -6.8
234 233 1
233 234 5.825
234 234 -6.825
235 234 1
234 235 5.85
235 235 -6.85
236 235 1
235 236 5.875
236 236 -6.875
237 236 1
236 237 5.9
237 237 -6.9
238 237 1
237 238 5.925
238 238 -6.925
239 238 1
238 239 5.95
239 239 -6.95
240 239 1
239 240 5.975
240 240 -6.975
241 240 1
240 241 6
241 241 -6
